episode,strategy,conflicts,delay,utilization,success_rate,throughput
0,MRGC,3,11,0.6,0.94,47
0,Random,5,12,1.0,0.9,45
0,RoundRobin,5,17,1.0,0.9,45
0,FullyGraph,0,152,10.0,1.0,50
1,MRGC,3,12,0.6,0.94,47
1,Random,5,20,1.0,0.9,45
1,RoundRobin,5,18,1.0,0.9,45
1,FullyGraph,0,144,10.0,1.0,50
2,MRGC,2,2,0.4,0.96,48
2,Random,5,21,1.0,0.9,45
2,RoundRobin,5,19,1.0,0.9,45
2,FullyGraph,0,129,10.0,1.0,50
3,MRGC,2,8,0.6,0.96,48
3,Random,5,15,1.0,0.9,45
3,RoundRobin,5,16,1.0,0.9,45
3,FullyGraph,0,146,10.0,1.0,50
4,MRGC,3,6,0.6,0.94,47
4,Random,5,16,1.0,0.9,45
4,RoundRobin,5,21,1.0,0.9,45
4,FullyGraph,0,128,10.0,1.0,50
5,MRGC,2,5,0.6,0.96,48
5,Random,5,16,1.0,0.9,45
5,RoundRobin,5,15,1.0,0.9,45
5,FullyGraph,0,144,10.0,1.0,50
6,MRGC,3,6,0.6,0.94,47
6,Random,5,15,1.0,0.9,45
6,RoundRobin,5,16,1.0,0.9,45
6,FullyGraph,0,153,10.0,1.0,50
7,MRGC,3,9,0.6,0.94,47
7,Random,5,15,1.0,0.9,45
7,RoundRobin,5,13,1.0,0.9,45
7,FullyGraph,0,145,10.0,1.0,50
8,MRGC,3,10,0.6,0.94,47
8,Random,5,15,1.0,0.9,45
8,RoundRobin,5,15,1.0,0.9,45
8,FullyGraph,0,158,10.0,1.0,50
9,MRGC,2,13,0.6,0.96,48
9,Random,5,12,1.0,0.9,45
9,RoundRobin,5,13,1.0,0.9,45
9,FullyGraph,0,166,10.0,1.0,50
