episode,strategy,conflicts,delay,utilization,success_rate,throughput
0,MRGC,3,10,0.6,0.97,97
0,Random,5,23,1.0,0.95,95
0,RoundRobin,5,18,1.0,0.95,95
0,FullyGraph,0,306,20.0,1.0,100
1,MRGC,3,8,0.6,0.97,97
1,Random,5,17,1.0,0.95,95
1,RoundRobin,5,9,1.0,0.95,95
1,FullyGraph,0,329,20.0,1.0,100
2,MRGC,3,11,0.6,0.97,97
2,Random,5,18,1.0,0.95,95
2,RoundRobin,5,10,1.0,0.95,95
2,FullyGraph,0,299,20.0,1.0,100
3,MRGC,3,12,0.6,0.97,97
3,Random,5,13,1.0,0.95,95
3,RoundRobin,5,15,1.0,0.95,95
3,FullyGraph,0,317,20.0,1.0,100
4,MRGC,3,4,0.6,0.97,97
4,Random,5,16,1.0,0.95,95
4,RoundRobin,5,11,1.0,0.95,95
4,FullyGraph,0,295,20.0,1.0,100
5,MRGC,3,6,0.6,0.97,97
5,Random,5,12,1.0,0.95,95
5,RoundRobin,5,20,1.0,0.95,95
5,FullyGraph,0,303,20.0,1.0,100
6,MRGC,3,6,0.6,0.97,97
6,Random,5,16,1.0,0.95,95
6,RoundRobin,5,19,1.0,0.95,95
6,FullyGraph,0,281,20.0,1.0,100
7,MRGC,3,12,0.6,0.97,97
7,Random,5,20,1.0,0.95,95
7,RoundRobin,5,18,1.0,0.95,95
7,FullyGraph,0,311,20.0,1.0,100
8,MRGC,3,4,0.6,0.97,97
8,Random,5,16,1.0,0.95,95
8,RoundRobin,5,18,1.0,0.95,95
8,FullyGraph,0,303,20.0,1.0,100
9,MRGC,3,13,0.6,0.97,97
9,Random,5,17,1.0,0.95,95
9,RoundRobin,5,10,1.0,0.95,95
9,FullyGraph,0,302,20.0,1.0,100
